name,slug,country,city,homepage,programs
"universitetet i genoa","universitetet-i-genoa","Italia","Genoa","","{'marin teknikk':1,}"
"technische universität münchen (tum)","technische-universität-münchen-(tum)","Tyskland","München","","{'mttk':1,'produktutvikling og produksjon (maskin)':1,'bygg-og miljøteknikk':1,'fysikk og matematikk - masterstudium (5-årig)':1,'energi og miljø':1,'industriell økonomi og teknologiledelse':2,'sivilingeniør bygg- og miljøteknikk':1,'kybernetikk og robotikk':2,}"
"ist","ist","Portugal","Lisboa","","{'energi og miljø':1,'informatikk':1,'ingeniørvitenskap og ikt':3,'bygg- og miljøteknikk':2,'fysikk og matematikk':1,'elektronisk systemdesign og innovasjon':1,'datateknologi':1,'ingeniørvitenskap og ikt - geomatikk':1,'i&amp;ikt':1,'industriell kjemi og bioteknologi':1,'marin teknikk':3,'komtek':1,'mtmart':1,'kybernetikk og robotikk':1,'':1,'produktutvikling og produksjon':1,'mttk':1,'mtprod':1,}"
"università di bologna","università-di-bologna","Italia","Bologna","","{'kybernetikk og robotikk':1,'energi og miljø':3,'industriell matematikk':1,'medisin profesjon':1,'bygg- og miljøteknikk':3,'industriell kjemi og bioteknologi':1,'kommunikasjonsteknologi':2,'bygg og miljøteknikk':1,'mtbygg':1,'industriell økonomi og teknologiledelse (maskin)':1,'datateknologi':1,'bygg - og miljøteknikk':1,'mtfyma':1,'medisin':1,}"
"università degli studi di padova","università-degli-studi-di-padova","Italia","Padova","","{'fysikk og matematikk':1,'energi og miljø':3,'energi og miljø - energiforsyning og klimatisering i bygninger':1,'mttk':1,'datateknologi':1,'mtkj':1,'psykologi bachelor':1,'indøk':1,'industriell økonomi og teknologiledelse':1,'digital forretningsutvikling':1,'mtiøt':1,}"
"tu graz","tu-graz","Østerrike","Graz","","{'fysmat':1,'fysikk og matematikk':1,'bygg-og miljøteknikk':1,'energi og miljø':1,'mtbygg':1,'mt bygg':1,'produktutvikling og produksjon':1,'bioteknologi':1,}"
"sorbonne universite","sorbonne-universite","Frankrike","Paris","","{'fysikk og matematikk  (5-årig)':1,}"
"university of california santa barbara","university-of-california-santa-barbara","USA","Santa Barbara","","{'produktutvikling og produksjon':1,'økonomi og administrasjon':1,'ingeniørvitenskap og ikt':1,'master informatikk - interaksjonsdesign, spill og læringsteknologi':1,'marin teknikk':1,'mtdt':1,}"
"instituto superior tecnico","instituto-superior-tecnico","Portugal","Lisboa","","{'produktutvikling og produksjon(pup)':1,'kybernetikk og robotikk':3,'mtmt':1,'ingeniørvitenskap og ikt':1,'tekniske geofag':1,'fysikk og matematikk':2,'datateknologi':3,'energi og miljø':1,'ingeniørvitenskap &amp; ikt':1,'produktutvikling og produksjon':2,'marin teknikk':2,'marinteknikk':1,'produktutvikling og produksjon  (mtprod)':1,'mtprod':1,'master i bioteknologi':1,'pup':1,'ms electric power engineering':1,}"
"puc","puc","Brazil","Rio de Janeiro","","{'bygg og miljøteknikk':1,}"
"danmarks tekniske universitet","danmarks-tekniske-universitet","Danmark","Kongens Lyngby / København","","{'vann- og miljøteknikk':1,'datateknologi':2,'produktutvikling og produksjon':2,'industriell økonomi og teknologi ledelse/energi og miljø':1,'bioteknologi':1,'mtpetr':1,'elsys':1,'industriell kjemi og bioteknologi':2,'mtbygg':3,'bygg- og miljøteknikk':3,'mit':1,'industriell design':2,'energi og miljø, energiplanlegging og miljøanalyse':1,'master bygg- og miljøteknikk':1,}"
"tu delft","tu-delft","Nederland","Delft","","{'vann- og miljøteknikk':1,'mtkj-bioteknologi':1,'industriell design':2,'fysikk og matematikk':2,'industriell design - interaksjonsdesign':1,'datateknologi med spesialisering i programvaresystemer':1,'master i informatikk':1,'mtfyma - teknisk fysikk':1,'marin teknikk (marine konstruksjoner)':1,'marin teknikk':5,'komtek':1,'kybernetikk og robotikk':2,'elektronisk systemdesign og innovasjon':2,'industriell økonomi og teknologiledelse':1,'tekniske geofag':1,'mtbygg - konstruksjon':1,'5-årig master i bioteknologi':1,'energi og miljø':2,'bygg- og miljøteknikk':1,'produktutvikling og produksjon (puma)':1,'mtbygg':1,'mttk':1,'teknisk kybernetikk':1,'produktutvikling og produksjon (pup / maskin)':1,'mtenerg':1,'mtmart':1,'':1,}"
"sapienza","sapienza","Italia","Roma","","{'datateknologi':1,'arkitektur':1,'informatikk':1,}"
"technische universität münchen","technische-universität-münchen","Tyskland","München","","{'kybernetikk og robotikk':5,'nanoteknologi':2,'fysikk og matematikk - teknisk fysikk':1,'mtnano':2,'':1,'fysikk og matematikk, masterstudium':1,'industriell økonomi og teknologiledelse':1,'ingeniørvitenskap og ikt':1,'bygg og miljøteknikk':1,'arkitektur':2,'fysikk og matematikk':1,'mtkj':1,'produktutvikling og produksjon':2,'fysikk og matematikk - industriell matematikk':1,'bygg- og miljøteknikk':1,'mtfyma':1,'datateknikk':1,'indøk data':1,'indøk':1,}"
"budapest university of technology and economics","budapest-university-of-technology-and-economics","Ungarn","Budapest","","{'':1,'kommunikasjonsteknologi og digital sikkerhet':1,'fysikk og matematikk, teknisk fysikk':1,'kommunikasjonsteknologi':2,}"
"tecnico","tecnico","Portugal","Lisboa","","{'indøk':1,'energi og miljø, 5-årig':1,'tekniske geofag':1,'mtelsys':1,'energi og miljø':2,}"
"aarhus universitet","aarhus-universitet","Danmark","Aarhus","","{'lektor i språkfag - nordisk':1,'bachelor i programmering':1,'mtnano-ne':1,'siv.ing. nanoteknologi':1,'nanoteknologi':1,'bevegelsesvitenskap':1,}"
"tum","tum","Tyskland","München","","{'materialteknologi':1,'arkitektur':3,'mttk':2,'fysikk og matematikk - industriell matematikk':1,'mtfyma':1,'i og ikt, konstruksjonsteknikk':1,'pup':1,'fysikk og matematikk':2,'master, fysikk og matematikk, tekfys':1,'bygg og miljøteknikk':2,'produktutvikling og produksjon':3,'kybernetikk og robotikk':1,'mtprod':1,'energi og miljø':4,'ingeniørvitenskap og ikt':2,'i &amp; ikt':1,'energibruk og energiplanlegging':1,'bygg- og miljøteknikk':1,'bygg -og miljøteknikk':1,'mtnano':1,'geomatikk':1,'teknisk kybernetikk':2,'indøk':1,}"
"upc - universitat politecnica de catalunya","upc---universitat-politecnica-de-catalunya","Spania","Barcelona","","{'kybernetikk og robotikk':1,}"
"ense3 ved inp grenoble","ense3-ved-inp-grenoble","Frankrike","Grenoble","","{'energi og miljø':1,}"
"politecnico di torino","politecnico-di-torino","Italia","Torino","","{'kybernetikk og robotikk':3,'bygg- og miljøteknikk':1,'mtkj':1,'petroleumsfag':1,'industriell økonomi og teknologiledelse':3,'indøk - pup':1,'mtfyma':1,'ingeniørvitenskap &amp; ikt':2,'mt-iøt':1,'ingeniørvitenskap og ikt':2,'i&amp;ikt':1,'indøk marin':1,'indøk':1,}"
"cole polytechnique fédérale de lausanne (epfl)","cole-polytechnique-fédérale-de-lausanne-(epfl)","Sveits","Lausanne","","{'industriell økonomi og teknologiledelse':1,}"
"montana state university","montana-state-university","USA","Bozeman","","{'bygg og miljøteknikk':1,'konstruksjon':1,}"
"oth-regensburg","oth-regensburg","Tyskland","Regensburg","","{'samfunnsøkonomi 5-årig master':1,'digital infrastruktur og cybersikkerhet':1,}"
"politecnio di milano","politecnio-di-milano","Italia","Milano","","{'industriell økonomi og teknologiledelse':1,}"
"university of british columbia (ubc)","university-of-british-columbia-(ubc)","Canada","Vancouver","","{'energi og miljø':1,'mtfyma':1,'industriell økonomi og teknologiledelse':2,}"
"eurecom","eurecom","Frankrike","Antibes","","{'kommunikasjonsteknologi':14,'kommunikasjonsteknologi og digital sikkerhet':2,'datateknologi':4,'datateknologi med ai':1,'datateknologi siving':1,'elsys':2,'mtdt':1,'ingeniørvitenskap &amp; ikt':1,'ingeniørvitenskap og ikt':1,'elektronisk systemdesign og innovasjon':6,'master informatikk, interaksjonsdesign, spill- og læringsteknologi':1,'mtkom':4,'4. år master i informatikk - interaksjonsdesign, spill- og læringsteknologi':1,'elektronisk systemdesign &amp; innovasjon':1,'datateknikk':1,}"
"instituto superior tecnicó","instituto-superior-tecnicó","Portugal","Lisboa","","{'datateknologi 5 åring':1,}"
"école polytechnique fédérale de lausanne (epfl)","école-polytechnique-fédérale-de-lausanne-(epfl)","Sveits","Lausanne","","{'kommunikasjonsteknologi og digital sikkerhet (mtkom)':1,}"
"università di roma, la sapienza","università-di-roma,-la-sapienza","Italia","Roma","","{'kommunikasjonsteknologi og digital sikkerhet':1,}"
"universitetet i københavn","universitetet-i-københavn","Danmark","København","","{'lektor, nordisk':1,}"
"uc3m","uc3m","Spania","Madrid","","{'kommunikasjonsteknologi og digital sikkerhet':1,'digital forretningsutvikling':1,}"
"universidad carlos iii de madrid","universidad-carlos-iii-de-madrid","Spania","Madrid","","{'datateknologi':2,'økonomi og administrasjon':4,'europastudier med statsvitenskap':1,'statsvitenskap':1,'sosialantropologi, bachelor':1,'mlreal':1,}"
"insa toulouse","insa-toulouse","Frankrike","Toulouse","","{'kybernetikk og robotikk':1,'mtfyma':1,}"
"epfl","epfl","Sveits","Lausanne","","{'fysikk og matematikk- teknisk fysikk - sivilingeniør/masterprogram 5-årig':1,'mtelsys':1,'bygg og miljøteknikk 5 årig':1,'industriell økonomi og teknologiledelse':1,'mtfyma':1,'industriell økonomi og teknologi ledelse':1,'produktutvikling og produksjon, industriell mekanikk':1,'produktutvikling og produksjon, ept':1,'nanoteknologi (nanoelektronikk)':1,'bygg- og miljøteknikk, 5-årig':1,'master i fysikk':1,}"
"university of british columbia","university-of-british-columbia","Canada","Vancouver","","{'bachelor i statsvitenskap':1,'datateknologi':2,'informatikk, 2-årig master':1,'marin teknikk':3,'bygg- og miljøteknikk':2,'kybernetikk og robotikk':3,'mtfyma':2,'industriell økonomi og teknologiledelse':3,'myfyma':1,'materialteknologi':1,'materialteknologi, mtmt':1,'mtkom kommunikasjonsteknologi':1,'teknisk kybernetikk':1,'tekniske geofag':1,}"
"dtu","dtu","Danmark","Kongens Lyngby","","{'chemistry':1,'kybernetikk og robotikk (5-årig)':1,'datateknologi':1,'mtprod':3,'kybernetikk og robotikk':1,'industriell kjemi og bioteknologi':2,'energi og prosessteknikk (strømningsteknikk)':1,'energi og miljø':4,'industriell økonomi og teknologiledelse':3,'industriel design':1,'elsys':1,'bygg -og miljøteknikk':1,'fysikk og matematikk':1,'bachelor elektroingeniør med rettning automasjon':1,'ledelse av teknologi':1,'mtfyma':1,'mbiot5':1,'mtkj':5,'mtiøt':1,'mtkj bioteknologi':1,'energibruk og energiplanlegging':2,'bygg- og miljøteknikk':2,'kommunikasjonsteknologi':1,'pup':1,'industriell økonomi og teknologi ledelse':1,'mtkj- materialteknologi':1,'bygg og miljøteknikk (konstruksjonsteknikk)':2,'industriell design':1,'produktutvikling og produksjon':1,'materialteknologi':1,'bbi':1,'energi og miljø- elkraft':1,'':1,}"
"danmarks tekniske universitet (dtu)","danmarks-tekniske-universitet-(dtu)","Danmark","København","","{'bygg- og miljøteknikk':1,'industriell kjemi og bioteknologi':1,'produktutvikling og produksjon (ipk)':1,'energi og miljø':2,'mtbygg':1,'industriell økologi':1,'industriell design':1,'marin teknikk':1,}"
"sciences po","sciences-po","Frankrike","Lyon","","{'bachelor i statsvitenskap':1,'europastudier med statsvitenskap':1,}"
"yıldız teknik üniversitesi","yıldız-teknik-üniversitesi","Tyrkia","Istanbul","","{'kybernetikk og robotikk':1,}"
"universiteit gent","universiteit-gent","Belgia","Gent","","{'environmental toxicology and chemistry':1,'industriell kjemi og bioteknologi':1,'msøk':1,}"
"university of copenhagen","university-of-copenhagen","Danmark","København","","{'datateknologi':1,'urban ecological planning':1,}"
"universitat politecnica de valencia","universitat-politecnica-de-valencia","Spania","Valencia","","{'industriell kjemi og bioteknologi':1,'mttk':1,'mtbygg':1,'sivilingeniør - fysikk og matematikk - 5-årig masterprogram':1,'bygg- og miljøteknikk':1,'bygg og miljøteknikk':1,'kommunikasjonsteknologi':1,}"
"ucsb","ucsb","USA","Santa Barbara","","{'produktutvikling og produksjon':1,'kybernetikk og robotikk':4,'mttk - kybernetikk og robotikk':1,'':1,'mtiøt':1,'allmenn litteraturvitenskap':1,'industriell kjemi og bioteknologi':2,'master i matematikk':1,'indøk':1,'datateknikk':1,'datateknologi':1,'mtkom':1,'ingeniørvitenskap &amp; ikt':1,'energi og miljø':1,}"
"universita degli studi di padova","universita-degli-studi-di-padova","Italia","Padova","","{'energi og miljø, energibruk i bygninger':1,'industriell kjemi og bioteknologi - mtkj':1,'indøk data':1,'mtkj':1,}"
"tu/e - technische universiteit eindhoven","tu/e---technische-universiteit-eindhoven","Nederland","Eindhoven","","{'mtfyma - teknisk fysikk':1,}"
"instituto superior técnico","instituto-superior-técnico","Portugal","Lisboa","","{'bygg- og miljøteknikk':2,'produktutvikling og produksjon':5,'energi og miljø':4,'kybernetikk og robotikk':5,'tekniske geofag':3,'ingeniørvitenskap og ikt':2,'materialteknologi':2,'indøk':1,'fysikk og matematikk':1,'industriell kjemi- og bioteknologi':1,'mtelsys':1,'informatikk':1,'sivilingeniør marin teknikk, 5-årig':1,'energi og miljø, elkraft':1,'elektronikk':1,}"
"","","","","","{'':11,}"
"københavns universitet","københavns-universitet","Danmark","København","","{'samfunn- og idrettsvitenskap':1,'lektorprogrammet i språkfag - nordisk':1,'bachelor i biologi':2,'bevegelsesvitenskap, bachelor':1,'lektorutdanning i samfunnsfag, masterprogram i sosiologi':1,'lektorutdanning i språk, nordisk':1,'master i nordisk språk':1,'samfunnsøkonomi':1,'siviløkonom/ masterprogram 2-årig':1,'profesjonsstudiet i psykologi':1,'indøk':2,'mtfyma':1,'psykologi bachelor':1,}"
"eth","eth","Sveits","Zürich","","{'kybernetikk og robotikk':1,'mttk - kybernetikk og robotikk':1,'produktutvikling og produksjon':1,'mtenerg':1,'mtdt':1,}"
"tu eindhoven","tu-eindhoven","Nederland","Eindhoven","","{'energi og miljø':1,'mttk':1,}"
"tsinghua","tsinghua","Kina","Beijing","","{'datateknologi':1,'mtdt':1,'indøk':1,}"
"politecnico","politecnico","Italia","Milano","","{'industriell økonomi og teknologiledelse':1,'marin teknikk':1,}"
"texas tech university","texas-tech-university","USA","Lubbock","","{'petroleumsfag':2,'mgeol':1,'petroleumsteknologi':2,}"
"università di pisa","università-di-pisa","Italia","Pisa","","{'datateknologi':1,}"
"university college dublin","university-college-dublin","Irland","Dublin","","{'fysikk og matematikk':1,'europastudier med statsvitenskap':1,'master fysikk':1,'bygg- og miljøteknikk':1,'energi og miljø - elektrisk energiteknikk og smarte nett':1,}"
"universita di bologna","universita-di-bologna","Italia","Bologna","","{'samfunnsøkonomi':1,'bygg- og miljøteknikk':2,'energi og miljø, 5-åring master':1,'medisin':1,'energi og miljø':2,'mtprod':1,'ingeniørvitenskap og ikt':1,'teknisk kybernetikk':1,}"
"universitá degli studi di padova","universitá-degli-studi-di-padova","Italia","Padova","","{'5-årig master bygg- og miljøteknikk':1,}"
"universidad de politecnica de madrid","universidad-de-politecnica-de-madrid","Spania","Madrid","","{'datateknologi':2,}"
"universita studi degli padova","universita-studi-degli-padova","Italia","Padova","","{'industriell kjemi og bioteknologi':1,}"
"university of innsbruck","university-of-innsbruck","Østerrike","Innsbruck","","{'mtfyma':1,'mtnano':1,'nanoteknologi':1,}"
"universitat politècnica de valènci","universitat-politècnica-de-valènci","Spania","Valencia","","{'industriell kjemi og bioteknologi':1,}"
"san diego state university","san-diego-state-university","USA","San Diego","","{'master of science in informatics':1,'profesjonsstudiet i psykologi':3,'energi og miljø':2,'master i samfunnsøkonomi':1,'shipping management':1,'mtfyma':1,'energi &amp; miljø':1,'mtbygg':2,'master i ledelse av teknologi':2,'logistikk':1,'logistikkingeniør':1,'byggingeniør, bachelor':1,'logistikk ingeniør':1,'bachelor bygg':1,'lektorutdanning med hovedfag i engelsk':1,'bygg- og miljøteknikk':1,'markedsføring og ledelse':1,'ledelse av teknologi':1,'energi og miljø - elkraft':1,'psykologi':1,'spesialpedagogikk':1,}"
"university of california san diego","university-of-california-san-diego","USA","san diego","","{'energi og miljø, 5-årig':1,'datateknologi':3,'fysikk og matematikk':1,'marin teknikk':2,'':1,'industriell økonomi og teknologiledelse':6,'produktutvikling og produksjon':2,'indøk':1,'mtenerg':1,}"
"uga","uga","Frankrike","Grenoble","","{'bygg- og miljøteknikk':1,}"
"ucsd","ucsd","USA","San Diego","","{'industriell økonomi og teknologiledelse':8,'energi og miljø':1,'ingeniørvitenskap &amp; ikt - konstruksjon':1,'kybernetikk og robotikk':3,'mtiøt':3,'bygg og miljøteknikk':3,'bygg- og miljøteknikk':7,'informatikk':1,'indøk':1,'produktutvikling og produksjon, maskin':1,'mtelsys':1,'nanoteknologi':1,'mtdt':1,'mbiot5':2,'mtbygg':4,'mtprod (in.mek.)':1,'bioteknologi':2,'mtprod':1,'datateknologi':1,'produktutvikling og produktsjon':1,'marin teknikk':1,'mtmart':1,'indøk-data':1,'bygg- og miljøteknikk - konstruksjon':1,'mlspråk':1,'bygg- og miljøteknikk (konstruksjon)':1,'datateknikk':1,'industriell mekanikk':1,'økonomi og administrasjon':1,}"
"columbia university of new york","columbia-university-of-new-york","USA","New York","","{'industriell økonomi og teknologiledelse':1,}"
"ist, instituto superior tecnico","ist,-instituto-superior-tecnico","Portugal","Lisboa","","{'datateknologi':1,}"
"albert-ludwig-universität freiburg","albert-ludwig-universität-freiburg","Tyskland","Freiburg im Breisgau","","{'europastudier med tysk':1,}"
"universidad politécnica de madrid","universidad-politécnica-de-madrid","Spania","Madrid","","{'datateknologi':2,'elektronisk systemdesign og innovasjon':1,}"
"ucsd(university of california san diego)","ucsd(university-of-california-san-diego)","USA","San Diego","","{'industriell økonomi og teknologiledelse':1,}"
"universiteit van amsterdam","universiteit-van-amsterdam","Nederland","Amsterdam","","{'fysikk og matematikk- fysmat':1,'mtdt':1,'fysikk og matematikk':1,}"
"university of the highlands and islands","university-of-the-highlands-and-islands","Storbritannia","Kirkwall","","{'bachelor i arkeologi':1,'arkeologi':2,}"
"eindhoven university of technology (technische universiteit eindhoven)","eindhoven-university-of-technology-(technische-universiteit-eindhoven)","Nederland","Eindhoven","","{'kybernetikk og robotikk (fordypning: robotsystemer)':1,}"
"bogazici universitetet","bogazici-universitetet","Tyrkia","Istanbul","","{'allmenn litteraturvitenskap - bachelor':1,}"
"ubc","ubc","Canada","Vancouver","","{'mtkj':2,'bygg- og miljøteknikk':2,'mtkom':1,'tekniske geofag':1,'energi og miljø':1,'mtbygg':1,'industriell kjemi og bioteknologi':1,}"
"university of padova","university-of-padova","Italia","Padova","","{'bioteknologi (mbiot5)':1,'mtkj':2,'industriell kjemi og bioteknologi':1,'bachelor psykologi':1,'psykologi bachelor':1,}"
"universita degli di padova","universita-degli-di-padova","Italia","Padova","","{'industriell økonomi og teknologiledelse':1,}"
"universita degli studi di genova","universita-degli-studi-di-genova","Italia","Genova","","{'kybernetikk og robotikk':1,}"
"usi","usi","Sveits","Mendrisio","","{'arkitektur':1,}"
"dtu: danmarks tekniske universitet","dtu:-danmarks-tekniske-universitet","Danmark","Kongens Lyngby","","{'mtkj - bioteknologi':1,}"
"aalto university","aalto-university","Finland","Espoo/Helsinki","","{'ingeniørvitenskap og ikt':1,'arkitektur':2,}"
"institut détudes politiques de toulouse","institut-détudes-politiques-de-toulouse","Frankrike","Toulouse","","{'europastudier - bachelorstudium':1,'statsvitenskap':1,}"
"universidade de lisboa","universidade-de-lisboa","Portugal","Lisboa","","{'industriell design':1,}"
"technische universität graz","technische-universität-graz","Østerrike","Graz","","{'fysikk og matematikk (tekfys)':1,'bygg- og miljøteknikk':2,}"
"upc-fme","upc-fme","Spania","Barcelona","","{'fysikk og matematikk':1,}"
"accademia di belle arti di brera","accademia-di-belle-arti-di-brera","Italia","Milano","","{'industriell design':1,}"
"czech technical university","czech-technical-university","Tsjekkia","Praha","","{'kybernetikk og robotikk':1,}"
"univeristetet i bologna","univeristetet-i-bologna","Italia","Bologna","","{'bygg og miljøteknikk':1,}"
"kungliga tekniska högskolan","kungliga-tekniska-högskolan","Sverige","Stockholm","","{'ingeniørvitenskap og ikt - konstruksjonsteknikk':1,'energi og miljø':2,}"
"ist - tecniso lisboa","ist---tecniso-lisboa","Portugal","Lisboa","","{'ingeniørvitenskap og ikt':1,}"
"università di genova","università-di-genova","Italia","Genova","","{'ingeniørvitenskap &amp;amp; ikt':1,}"
"kaist","kaist","Korea","Daejeon","","{'datateknologi':2,'kybernetikk og robotikk (mttk)':1,'mtdt':1,'mttk':1,'produktutvikling og produksjon':1,'fysikk og matematikk':2,'produksjon og produktutvikling':1,}"
"hochschule lucerne","hochschule-lucerne","Sveits","Luzern","","{'master i arkitektur':1,}"
"ku leuven","ku-leuven","Belgia","Leuven","","{'fysikk og matematikk - industriell matematikk':1,'datateknologi':2,'':1,'industriell kjemi og bioteknologi':1,'mtkj':1,'kommunikasjonsteknologi':1,'bygg og miljøteknikk':1,'sivilingeniør i nanoteknologi':1,}"
"eindhoven university of technology (tu eindhoven)","eindhoven-university-of-technology-(tu-eindhoven)","Nederland","Eindhoven","","{'kybernetikk og robotikk masterprogram (sivilingeniør) 5-årig':1,}"
"university of hawaii at manoa","university-of-hawaii-at-manoa","USA","Honolulu","","{'bachelor i biologi':1,'kybernetikk og robotikk':1,'europastudier med statsvitenskap':1,'økonomi og administrasjon bachelor':2,'bachelor i økonomi og administrasjon':1,}"
"universitat politècnica de valència","universitat-politècnica-de-valència","Spania","Valencia","","{'industriell økonomi og teknologiledelse, emil':1,'marin teknikk':1,'kybernetikk og robotikk':1,'bygg- og miljøteknikk':1,'fysikk og matematikk - industriell matematikk':1,'master i arkitektur':1,}"
"universitet mannheim","universitet-mannheim","Tyskland","Mannheim","","{'industriell økonomi og teknologiledelse':2,}"
"università degli studi di firenze","università-degli-studi-di-firenze","Italia","Firenze","","{'arkitektur':1,'statsvitenskap':1,}"
"ist - instituto superior técnico","ist---instituto-superior-técnico","Portugal","Lisboa","","{'kybernitikk og robotikk':1,}"
"universita degli studi di firenze (unifi)","universita-degli-studi-di-firenze-(unifi)","Italia","Firenze","","{'industriell økonomi og teknologiledelse - data':1,}"
"chalmers university","chalmers-university","Sverige","Gothenburg","","{'industrial ecology':1,}"
"ugent","ugent","Belgia","Gent","","{'ingeniørvitenskap og ikt, konstruksjon':1,'bygg - og miljøteknikk':1,}"
"københavns professionshøjskole","københavns-professionshøjskole","Danmark","København","","{'bachelor i sosialt arbeid (sosionom)':1,'barnevernspedagogikk bachelor':1,'sykepleierutdanning, bachelor heltid':1,'sykepleie, bachelor heltid':1,}"
"sapienza universita di roma","sapienza-universita-di-roma","Italia","Roma","","{'mtnano':1,}"
"universitat politecnica de catalunya","universitat-politecnica-de-catalunya","Spania","Barcelona","","{'industriell matematikk':1,'datateknologi':1,'kybernetikk og robotikk':1,'bygg- og miljøteknikk':1,}"
"ucd","ucd","Irland","Dublin","","{'arkitektur':1,'elektrisk energiteknikk og smarte nett':1,'mtbygg':1,}"
"university of roehampton","university-of-roehampton","Storbritannia","London","","{'drama og teater':1,}"
"upv, universitat politècnica de valència","upv,-universitat-politècnica-de-valència","Spania","Valencia","","{'mtprod':1,'bygg- og miljøteknikk':1,}"
"unibo","unibo","Italia","Bologna","","{'datateknologi':1,'energi og miljø':2,'fysmat':1,'mlt':1,'religionsvitenskap / årsstudium engelsk':1,}"
"bme","bme","Ungarn","Budapest","","{'kybernetikk og robotikk':1,'kommunikasjonsteknologi':2,}"
"czech technical university (ctu)","czech-technical-university-(ctu)","Tsjekkia","Praha","","{'kybernetikk og robotikk':1,'datateknologi':1,}"
"uc berkeley","uc-berkeley","USA","Berkeley","","{'mtnano':1,'industriell økonomi og teknologiledelse':3,'kybernetikk og robotikk':1,'psykologi bachelor':1,'industriell kjemi og bioteknologi':2,'bachelor økonomi og administrasjon':1,'mtiøt - data':1,'mtdt - datateknologi':1,'bachelor psykologi':1,'ingeniørvitenskap og ikt':1,'fysikk og matematikk':3,'dataingeniør':2,'mtkj':1,'mtfyma':2,'mttk':1,'bygg- og miljøteknikk':1,'emil':1,'energi og miljø':1,'nanoteknologi':1,'produktutvikling og produksjon':1,'industriell økonomi og teknologiledelse med valgt teknologiretning emil og elkraft':1,'marine teknikk':1,'mtprod':2,'sosiologi':1,'konstruksjonsteknikk':1,'master i matematikk':1,'lektor i samfunnsfag':1,}"
"alma mater studiorum università di bologna","alma-mater-studiorum-università-di-bologna","Italia","Bologna","","{'industriell kjemi og bioteknologi':1,}"
